,name,id,firstAuthor,numOfCoAuthors,title,subtitle,normalizedGenre,yearNormalized,size,libretto,averageClustering,density,averagePathLength,maxDegreeIds,averageDegree,diameter,yearPremiered,yearPrinted,maxDegree,numOfSpeakers,numOfSpeakersFemale,numOfSpeakersMale,numOfSpeakersUnknown,numPersonGroups,numConnectedComponents,yearWritten,numOfSegments,wikipediaLinkCount,numOfActs,wordCountText,wordCountSp,wordCountStage,numOfP,numOfL
1,alfieri-agamennone,ita000002,Alfieri,0,Agamennone,,,1783,4,False,1.0,1.0,1.0,several characters,3.0,1,,1783.0,3,4,2,2,0,,1,1776/1778,25,0.0,5,10761,10638,51,0,1531
2,alfieri-antigone,ita000003,Alfieri,0,Antigone,,,1783,4,False,1.0,1.0,1.0,several characters,3.0,1,,1783.0,3,4,2,2,0,,1,,22,0.0,5,10507,10248,63,0,1519
3,alfieri-bruto-primo,ita000004,Alfieri,0,Bruto primo,,,1789,7,False,1.0,1.0,1.0,several characters,6.0,1,,1789.0,6,7,0,6,1,,1,1786/1787,20,0.0,5,10666,10292,120,0,1529
4,alfieri-bruto-secondo,ita000005,Alfieri,0,Bruto secondo,,,1789,9,False,0.7817460317460316,0.6944444444444444,1.3055555555555556,bruto,5.555555555555555,2,,1789.0,8,9,0,8,1,,1,,14,0.0,5,11801,11450,106,0,1628
5,alfieri-don-garzia,ita000006,Alfieri,0,Don Garzia,,,1789,5,False,0.9,0.9,1.1,cosimo|piero|garzia,3.6,2,,1789.0,4,5,1,4,0,,1,,23,0.0,5,11016,10893,53,1,1542
6,alfieri-filippo,ita000007,Alfieri,0,Filippo,,,1783,6,False,0.8444444444444444,0.8,1.2,filippo|gomez,4.0,2,,1783.0,5,6,1,5,0,,1,1775,24,0.0,5,11028,10906,50,0,1620
7,alfieri-la-congiura-de-pazzi,ita000008,Alfieri,0,La congiura de' Pazzi,,,1788,6,False,0.9,0.8,1.2,raimondo|guglielmo,4.0,2,,1788.0,5,6,1,5,0,,1,1777/1783,24,0.0,5,11880,11637,63,0,1619
8,alfieri-maria-stuarda,ita000009,Alfieri,0,Maria Stuarda,,,1788,5,False,0.9,0.9,1.1,maria|arrigo|botuello,3.6,2,,1788.0,4,5,1,4,0,,1,1778/1782,27,0.0,5,11409,11287,47,0,1629
9,alfieri-merope,ita000010,Alfieri,0,Merope,,,1783,6,False,1.0,1.0,1.0,several characters,5.0,1,,1783.0,5,6,1,4,1,,1,1782,21,0.0,5,11239,10896,57,0,1652
10,alfieri-mirra,ita000011,Alfieri,0,Mirra,,,1789,6,False,1.0,1.0,1.0,several characters,5.0,1,,1789.0,5,6,3,2,1,,1,1784/1786,22,0.0,5,11051,10803,65,4,1575
11,alfieri-oreste,ita000012,Alfieri,0,Oreste,,,1783,5,False,1.0,1.0,1.0,several characters,4.0,1,,1783.0,4,5,2,3,0,,1,1776/1777,30,0.0,5,11132,10952,93,0,1721
12,alfieri-ottavia,ita000013,Alfieri,0,Ottavia,,,1783,5,False,1.0,1.0,1.0,several characters,4.0,1,,1783.0,4,5,2,3,0,,1,1779/1782,27,0.0,5,11138,11001,60,0,1592
13,alfieri-polinice,ita000014,Alfieri,0,Polinice,,,1783,5,False,1.0,1.0,1.0,several characters,4.0,1,,1783.0,4,5,2,3,0,,1,1775,21,0.0,5,11428,11295,65,3,1643
14,alfieri-rosmunda,ita000015,Alfieri,0,Rosmunda,,,1783,4,False,1.0,1.0,1.0,several characters,3.0,1,,1783.0,3,4,2,2,0,,1,1779/1780,24,0.0,5,11482,11349,61,0,1632
15,alfieri-saul,ita000016,Alfieri,0,Saul,,,1788,6,False,0.9,0.8666666666666667,1.1333333333333333,saul|gionata|abner,4.333333333333333,2,,1788.0,5,6,1,5,0,,1,1782,24,0.0,5,12015,11701,145,1,1762
16,alfieri-sofonisba,ita000017,Alfieri,0,Sofonisba,,,1789,4,False,1.0,1.0,1.0,several characters,3.0,1,,1789.0,3,4,1,3,0,,1,,23,0.0,5,8817,8670,51,0,1223
17,alfieri-timoleone,ita000018,Alfieri,0,Timoleone,,,1783,4,False,1.0,1.0,1.0,several characters,3.0,1,,1783.0,3,4,1,3,0,,1,,20,0.0,5,10563,10292,47,0,1480
18,alfieri-virginia,ita000019,Alfieri,0,Virginia,,,1783,7,False,0.9523809523809524,0.9523809523809524,1.0476190476190477,several characters,5.714285714285714,2,,,6,7,2,4,1,,1,1777/1783,21,0.0,5,11418,11263,65,0,1639
48,carmignani-polissena,ita000049,Carmignani,0,Polissena,,,1789,6,False,0.8388888888888889,0.7333333333333333,1.2666666666666666,arsindo|polissena,3.6666666666666665,2,,1789.0,5,6,2,4,0,,1,,30,0.0,5,17070,14566,1401,0,2179
51,cosci-paola-da-buti,ita000052,Cosci,0,Paola da Buti,,,1933,13,False,0.7891275391275392,0.4230769230769231,1.5769230769230769,paola,5.076923076923077,2,1933,,12,14,4,9,1,,1,1930,22,0.0,4,6116,5211,1199,0,905
66,foscolo-edippo,ita000067,Foscolo,0,Edippo,,,1796,5,False,0.9,0.9,1.1,teseo|antigone|edippo,3.6,2,,1978.0,4,5,1,4,0,,1,1796,18,0.0,4,9582,9306,56,0,1418
67,foscolo-ricciarda,ita000068,Foscolo,0,Ricciarda,,,1813,5,False,0.8666666666666666,0.8,1.2,averardo|guido,3.2,2,1813,1820.0,4,5,1,4,0,,1,1812/1813,25,0.0,5,10507,10288,128,0,1444
68,foscolo-tieste,ita000069,Foscolo,0,Tieste,,,1797,4,False,1.0,1.0,1.0,several characters,3.0,1,1797,,3,4,2,2,0,,1,1795,24,0.0,5,11080,10771,417,0,1694
69,gigli-la-dirindina,ita000070,Gigli,0,La Dirindina,,,1715,3,False,1.0,1.0,1.0,don_carissimo|liscione|dirindina,2.0,1,1715,1715.0,2,3,1,2,0,,1,,2,0.0,0,2086,2073,0,0,408
70,giraldi-cinzio-cleopatra,ita000071,Giraldi,0,Cleopatra,,,1542,18,False,0.5783148949815616,0.3594771241830065,1.6397058823529411,coro,6.111111111111111,3,,1583.0,12,18,4,14,0,,2,1542,35,0.0,5,22367,21247,16,0,3052
71,giraldi-cinzio-egle-editio-princeps,ita000072,Giraldi,0,Egle (Editio Princeps),,,1545,19,False,0.8089977617841395,0.3684210526315789,1.631578947368421,egle,6.631578947368421,2,,1545.0,18,19,8,11,0,,1,,20,,5,17500,16039,71,0,2289
85,goldoni-la-sposa-persiana,ita000086,Goldoni,0,La sposa persiana,,,1753,9,False,0.8746031746031746,0.75,1.25,fatima|tamas,6.0,2,1753,,8,9,4,5,0,,1,1753,51,0.0,5,20129,16730,689,0,2110
96,manzoni-adelchi,ita000097,Manzoni,0,Adelchi,,,1822,36,False,0.8190477006653478,0.1761904761904762,2.425396825396825,adelchi,6.166666666666667,4,1843,1822.0,17,36,5,31,0,,1,1820/1821,39,0.0,5,16899,15606,493,0,2360
97,manzoni-il-conte-di-carmagnola,ita000098,Manzoni,0,Il conte di Carmagnola,,,1820,20,False,0.8226923076923077,0.2,2.1403508771929824,il_conte,3.8,4,1828,1820.0,13,20,2,17,1,,2,1816/1819,24,0.0,6,15547,15191,294,2,2192
104,metastasio-attilio-regolo,ita000105,Metastasio,0,Attilio Regolo,,,1750,9,False,0.8711640211640213,0.75,1.25,licinio,6.0,2,1750,,8,9,2,5,2,,1,1738/1740,33,0.0,3,9516,8770,520,0,1585
105,metastasio-demetrio,ita000106,Metastasio,0,Demetrio,,,1731,7,False,0.9523809523809524,0.9523809523809524,1.0476190476190477,several characters,5.714285714285714,2,1731,,6,7,2,4,1,,1,,45,0.0,3,11808,10798,640,0,1956
106,metastasio-demofoonte,ita000107,Metastasio,0,Demofoonte,,,1733,8,False,0.8702380952380953,0.7857142857142857,1.2142857142857142,dircea|timante,5.5,2,1733,,7,8,2,5,1,,1,,36,0.0,3,10704,9480,576,0,1794
107,metastasio-didone-abbandonata,ita000108,Metastasio,0,Didone abbandonata,,,1724,7,False,0.8571428571428571,0.7142857142857143,1.0,several characters,4.285714285714286,1,1724,,5,7,2,5,0,,2,,53,0.0,3,9930,9013,924,0,1563
108,metastasio-ezio,ita000109,Metastasio,0,Ezio,,,1728,7,False,1.0,1.0,1.0,several characters,6.0,1,1728,,6,7,2,4,1,,1,,44,0.0,3,11857,11258,605,0,1988
114,metastasio-l-olimpiade,ita000115,Metastasio,0,L'olimpiade,,,1733,10,False,0.9186507936507936,0.8888888888888888,1.1111111111111112,several characters,8.0,2,1733,,9,10,2,6,2,,1,,35,0.0,3,11021,9837,662,0,1785
