,name,id,firstAuthor,numOfCoAuthors,title,subtitle,normalizedGenre,yearNormalized,size,libretto,averageClustering,density,averagePathLength,maxDegreeIds,averageDegree,diameter,yearPremiered,yearPrinted,maxDegree,numOfSpeakers,numOfSpeakersFemale,numOfSpeakersMale,numOfSpeakersUnknown,numPersonGroups,numConnectedComponents,yearWritten,numOfSegments,wikipediaLinkCount,numOfActs,wordCountText,wordCountSp,wordCountStage,numOfP,numOfL
1,alberti-im-suff,ger000041,Alberti,0,Im Suff,Naturalistische Spital-Katastrophe in zwei Vorgängen und einem Nachgang,,1890,14,False,0.9642857142857142,0.5274725274725275,1.0588235294117647,several characters,6.857142857142857,2,,1890.0,9,14,3,10,1,,2,,4,0,0,12497,11454,4016,365,191
48,brandes-ino,ger000177,Brandes,0,Ino,Ein Melodrama,,1779,9,True,0.6555555555555556,0.3888888888888889,1.9444444444444444,chor,3.111111111111111,4,1779,1779.0,6,9,3,1,5,,1,1777,11,0,0,2468,2096,311,185,52
50,braun-von-braunthal-faust,ger000204,Braun von Braunthal,0,Faust,Eine Tragödie,Tragedy,1835,36,False,0.8225994684328017,0.238095238095238,2.2111111111111112,faust,8.333333333333334,4,,1835.0,22,36,5,24,7,,1,,31,0,5,19300,18392,2491,0,2702
55,bretzner-belmont-und-constanze,ger000339,Bretzner,0,Belmont und Constanze oder Die Entführung aus dem Serail,Eine Operette in drey Akten,,1781,11,False,0.6634199134199135,0.509090909090909,1.2432432432432432,pedrillo,5.090909090909091,2,1781,,8,11,2,9,0,,2,,22,1,3,8549,8235,949,273,408
60,busoni-doktor-faust,ger000542,Busoni,0,Doktor Faust,,,1920,40,True,0.928480427822533,0.4269230769230769,1.573076923076923,mephistopheles|faust,16.65,2,1925,1920.0,39,40,2,31,7,,1,,6,0,0,7031,6113,1560,252,427
61,busoni-turandot,ger000145,Busoni,0,Turandot,Eine chinesische Fabel nach Gozzi in zwei Akten,,1917,16,True,0.9259615384615384,0.6333333333333333,1.3916666666666666,kalaf,9.5,3,1917,1920.0,14,16,6,9,1,,1,,4,6,2,4506,4221,710,176,352
62,castelli-jeitteles-der-schicksalsstrumpf,ger000523,Castelli,1,Der Schicksalsstrumpf,Tragödie in zwei Akten,Comedy,1818,6,False,0.8388888888888889,0.7333333333333333,1.2666666666666666,kunigunde|roderich_i,3.6666666666666665,2,,1818.0,5,6,1,4,1,,1,,27,0,2,13852,12938,1504,14,2224
64,collin-coriolan,ger000474,Collin,0,Coriolan,Ein Trauerspiel in fünf Aufzügen,Tragedy,1802,16,False,0.7598304473304472,0.425,1.575,coriolan,6.375,2,1802,1804.0,15,16,2,14,0,,1,,33,0,5,20006,19579,691,0,2838
69,dehmel-michel-michael,ger000299,Dehmel,0,Michel Michael,Komödie in fünf Akten,Comedy,1911,35,False,0.8678830254712607,0.7126050420168067,1.2873949579831934,eulenspiegel,24.228571428571428,2,1911,1911.0,34,35,5,25,5,,1,1909/1910,6,0,5,18719,18099,4333,0,2017
72,devrient-hans-heiling,ger000055,Devrient,0,Hans Heiling,Romantische Oper in drei Aufzügen und einem Vorspiel,,1833,17,True,0.8557716793010911,0.5588235294117647,1.4558823529411764,stephan,8.941176470588236,3,1833,,15,17,5,8,4,,1,,29,8,3,14069,12682,4269,156,1220
73,dovsky-mona-lisa,ger000352,Dovsky,0,Mona Lisa,Oper in zwei Akten,,1915,20,True,0.9742690058479532,0.9421052631578948,1.0578947368421052,several characters,17.9,2,1915,,19,20,6,10,4,,1,,2,4,2,6161,6034,0,0,1044
76,eichendorff-das-incognito,ger000335,Eichendorff,0,Das Incognito oder Die mehreren Könige oder Alt und Neu,Ein Puppenspiel,,1843,57,False,0.9334537003689792,0.3220551378446115,1.8803258145363408,koenig,18.035087719298247,3,,1901.0,41,57,3,49,5,,1,1840/1843,7,0,0,6119,5970,794,0,783
82,ertler-das-spiel-von-doktor-faust,ger000052,Ertler,0,Das Spiel von Doktor Faust,Ein deutsches Stück im Volkston in einem Vorspiel und drei Akten,,1923,22,False,0.6632690541781451,0.1991341991341991,1.9210526315789476,hanswurst,4.181818181818182,3,1923,1923.0,12,22,3,16,3,,3,1922,51,0,3,15320,13892,1318,0,2026
86,fouque-aslauga,ger000471,Fouqué,0,Aslauga,Ein Heldenspiel in drei Abentheuren,,1810,65,False,0.8957293775910545,0.2197115384615384,1.883585564610012,kriegsleute,14.06153846153846,3,,1810.0,35,65,9,51,5,,3,,19,0,3,16506,15731,723,4,2152
87,fouque-sigurd-der-schlangentoedter,ger000212,Fouqué,0,"Sigurd, der Schlangentödter",Ein Heldenspiel in sechs Abentheuren,,1808,26,False,0.8277397073383697,0.3076923076923077,1.7384615384615385,sigurd,7.6923076923076925,3,,1808.0,23,26,10,13,3,,1,,17,0,6,28926,26924,1137,0,3822
88,fouque-sigurds-rache,ger000470,Fouqué,0,Sigurds Rache,Ein Heldenspiel in sechs Abentheuren,,1810,50,False,0.8797835618639249,0.3640816326530612,1.6555102040816327,gudruna,17.84,3,,1810.0,44,50,8,41,1,,1,,11,0,6,22288,21664,1008,0,3042
132,grabbe-don-juan-und-faust,ger000209,Grabbe,0,Don Juan und Faust,Eine Tragödie in vier Akten,Tragedy,1829,21,False,0.9502100840336134,0.638095238095238,1.3904761904761904,faust,12.761904761904765,3,1829,1829.0,18,21,2,14,5,,1,1829,11,2,4,23458,23218,1462,33,3395
139,grillparzer-der-gastfreund,ger000513,Grillparzer,0,Der Gastfreund,Trauerspiel in einem Aufzuge,Tragedy,1821,12,False,1.0,1.0,1.0,several characters,11.0,1,1821,1822.0,11,12,5,7,0,,1,1818,1,0,1,4280,4023,565,0,619
141,grillparzer-des-meeres-und-der-liebe-wellen,ger000010,Grillparzer,0,Des Meeres und der Liebe Wellen,Trauerspiel in fünf Aufzügen,Tragedy,1831,11,False,1.0,1.0,1.0,several characters,10.0,1,1831,1840.0,10,11,3,7,1,,1,1826/1829,5,0,5,19626,19301,2718,0,2452
143,grillparzer-die-argonauten,ger000514,Grillparzer,0,Die Argonauten,Trauerspiel in vier Aufzügen,Tragedy,1821,17,False,0.866955756661639,0.5661764705882353,1.4338235294117647,medea,9.058823529411764,2,1821,1822.0,16,17,5,11,1,,1,1818/1819,9,0,4,15827,15476,2566,0,2172
146,grillparzer-ein-treuer-diener-seines-herrn,ger000372,Grillparzer,0,Ein treuer Diener seines Herrn,Trauerspiel in fünf Aufzügen,Tragedy,1828,37,False,0.8847414064805369,0.4219219219219219,1.578078078078078,bancbanus|otto,15.18918918918919,2,1828,1830.0,36,37,6,29,2,,1,1826/1827,5,1,5,20229,19954,3152,0,2475
170,halm-der-sohn-der-wildnis,ger000113,Halm,0,Der Sohn der Wildnis,Dramatisches Gedicht in fünf Akten,,1842,18,False,0.864652177887472,0.6209150326797386,1.3790849673202614,parthenia,10.555555555555555,2,1842,1843.0,17,18,3,15,0,,1,,5,0,5,21664,21322,2226,0,2890
