,name,id,firstAuthor,numOfCoAuthors,title,subtitle,normalizedGenre,yearNormalized,size,libretto,averageClustering,density,averagePathLength,maxDegreeIds,averageDegree,diameter,yearPremiered,yearPrinted,maxDegree,numOfSpeakers,numOfSpeakersFemale,numOfSpeakersMale,numOfSpeakersUnknown,numPersonGroups,numConnectedComponents,yearWritten,numOfSegments,wikipediaLinkCount,numOfActs,wordCountText,wordCountSp,wordCountStage,numOfP,numOfL
8,anzengruber-heimgfunden,ger000039,Anzengruber,0,Heimg'funden,Wiener Weihnachtskomödie in drei Akten,Comedy,1885,30,False,0.8429579951638775,0.3103448275862069,2.034482758620689,thomas,9.0,3,1885,1885.0,17,30,9,17,4,,1,1884/1885,36,0,3,26742,25733,4313,869,34
17,baeuerle-die-buerger-in-wien,ger000355,Bäuerle,0,Die Bürger in Wien,Lokale Posse in drei Akten,Comedy,1813,19,False,0.8571968193485222,0.5321637426900585,1.4678362573099415,staberl,9.578947368421051,2,1813,1820.0,18,19,4,13,2,,1,,50,2,3,16210,15686,1204,642,52
20,barlach-der-blaue-boll,ger000540,Barlach,0,Der blaue Boll,Drama,,1926,22,False,0.8803366568072452,0.4415584415584415,1.6233766233766234,grete,9.272727272727272,3,1926,1926.0,18,22,4,18,0,,1,1924/1926,7,0,0,21518,20724,1997,763,0
21,bauernfeld-buergerlich-und-romantisch,ger000027,Bauernfeld,0,Bürgerlich und Romantisch,Lustspiel in vier Akten,Comedy,1835,13,False,0.7429181929181929,0.5256410256410257,1.5384615384615383,sittig|baron,6.307692307692308,3,1835,1837.0,10,13,5,8,0,,1,1835,51,0,4,18089,17502,1016,1156,9
26,benedix-das-bemooste-haupt,ger000499,Benedix,0,Das bemooste Haupt oder Der lange Israël,Schauspiel in vier Aufzügen,,1839,15,False,0.8685551485551486,0.5428571428571428,1.457142857142857,strobel,7.6,2,1839,1840.0,14,15,3,12,0,,1,1838,46,0,9,17501,16958,1525,857,20
34,birch-pfeiffer-in-der-heimath,ger000268,Birch-Pfeiffer,0,In der Heimath,Original-Schauspiel in fünf Acten,,1865,18,False,0.8290388623721956,0.5294117647058824,1.522875816993464,rose,9.0,3,1865,1865.0,15,18,8,10,0,,1,,39,0,5,25238,24493,4202,861,0
37,birch-pfeiffer-vatersorgen,ger000092,Birch-Pfeiffer,0,Vatersorgen,Komisches Zeitgemälde in drei Akten,Comedy,1849,13,False,0.8634698634698635,0.5512820512820513,1.448717948717949,krabbe|baron,6.615384615384615,2,1850,1849.0,12,13,4,9,0,,1,1849,45,0,3,20527,20131,3473,738,0
40,blumenthal-im-weissen-roessl,ger000165,Blumenthal,1,Im weißen Rößl,Lustspiel in drei Aufzügen,Comedy,1898,36,False,0.8939895618607304,0.5555555555555556,1.415126050420168,leopold,19.444444444444443,3,1898,1898.0,33,36,13,23,0,,2,,38,0,3,23477,22514,3154,1270,32
42,borchert-draussen-vor-der-tuer,ger000476,Borchert,0,Draußen vor der Tür,"Ein Stück, das kein Theater spielen und kein Publikum sehen will",,1947,16,False,0.8560606060606061,0.4333333333333333,1.6666666666666667,beckmann,6.5,3,1947,1947.0,12,16,4,9,3,,1,1947,7,7,0,18969,18439,627,546,38
43,borkenstein-der-bookesbeutel,ger000347,Borkenstein,0,Der Bookesbeutel,Ein Lustspiel von Drey Aufzügen,Comedy,1741,9,False,0.9523809523809524,0.8333333333333334,1.1666666666666667,agneta|susanna,6.666666666666667,2,1741,1742.0,8,9,5,4,0,,1,,27,0,3,18363,18089,295,566,3
